AFFGEOID,Cartogram Data (eg. Population),Color,Inset,Label,ALAND,AWATER,COUNTYNS,GEOID,ShapeName
0500000US01077,"93,564",,,,1730150447,133604580,161564,1077,Lauderdale
0500000US01079,"33,073",,,,1788864348,68682286,161565,1079,Lawrence
0500000US01081,"174,241",,,,1573526818,21516747,161566,1081,Lee
0500000US01083,"103,570",,,,1450297458,122310053,161567,1083,Limestone
0500000US01085,"10,311",,,,1854651814,23271259,161568,1085,Lowndes
0500000US01087,"19,532",,,,1576435594,11765508,161569,1087,Macon
0500000US01089,"388,153",,,,2076137768,28784863,161570,1089,Madison
0500000US01091,"19,323",,,,2530155136,14951685,161572,1091,Marengo
0500000US01093,"29,341",,,,1922660061,3180617,161573,1093,Marion
0500000US01095,"97,612",,,,1465531833,148497637,161574,1095,Marshall
0500000US01097,"414,809",,,,3184064142,1074011171,161575,1097,Mobile
0500000US01099,"19,772",,,,2656469672,22609681,161576,1099,Monroe
0500000US01101,"228,954",,,,2034059352,37703221,161577,1101,Montgomery
0500000US01103,"123,421",,,,1501335536,50196377,161578,1103,Morgan
0500000US01105,"8,511",,,,1863936200,10902207,161579,1105,Perry
0500000US01107,"19,123",,,,2282835039,22621093,161580,1107,Pickens
0500000US01109,"33,009",,,,1740645369,2339145,161581,1109,Pike
0500000US01111,"21,967",,,,1503618358,9283013,161582,1111,Randolph
0500000US01113,"59,183",,,,1660652494,15564412,161583,1113,Russell
0500000US01115,"91,103",,,,1635759714,56431801,164997,1115,Shelby
0500000US01117,"223,024",,,,2034279163,62288764,161584,1117,St. Clair
0500000US01119,"12,345",,,,2340898913,24634883,161585,1119,Sumter
0500000US01121,"82,149",,,,1908346574,60874403,161586,1121,Talladega
0500000US01123,"41,311",,,,1855798002,128790974,161587,1123,Tallapoosa
0500000US01125,"227,036",,,,3420980817,78702670,161588,1125,Tuscaloosa
0500000US01127,"65,342",,,,2048757699,36683003,161589,1127,Walker
0500000US01129,"15,388",,,,2797712949,21660030,161590,1129,Washington
0500000US01131,"10,600",,,,2299540559,50592191,161591,1131,Wilcox
0500000US01133,"23,540",,,,1587657470,48873867,161592,1133,Winston
0500000US04001,"66,021",,,,29003491828,54145120,25441,4001,Apache
0500000US04003,"125,447",,,,16083178109,17664572,25442,4003,Cochise
0500000US04005,"145,101",,,,48216135500,116631423,25443,4005,Coconino
0500000US04007,"53,272",,,,12322070149,96465330,40471,4007,Gila
0500000US04009,"38,533",,,,11970605955,47476264,25444,4009,Graham
0500000US04011,"9,563",,,,4771128169,13746346,42807,4011,Greenlee
0500000US04012,"16,557",,,,11646086700,36514200,43540,4012,La Paz
0500000US04013,"4,420,568",,,,23833061798,62173467,37026,4013,Maricopa
0500000US04015,"213,267",,,,34530024782,333401646,25445,4015,Mohave
0500000US04017,"106,717",,,,25769070671,24116169,42808,4017,Navajo
0500000US04019,"1,043,433",,,,23798578890,5112016,25446,4019,Pima
0500000US04021,"425,264",,,,13899612888,20747424,25447,4021,Pinal
0500000US04023,"47,669",,,,3201853239,3068237,40472,4023,Santa Cruz
0500000US04025,"236,209",,,,21038299574,11356180,42809,4025,Yavapai
0500000US04027,"203,881",,,,14280774791,13253159,23901,4027,Yuma
0500000US05001,"17,149",,,,2569632263,120698185,63755,5001,Arkansas
0500000US05003,"19,062",,,,2397012349,38656004,63756,5003,Ashley
0500000US05005,"41,627",,,,1434660641,84907080,69895,5005,Baxter
0500000US05007,"284,333",,,,2195587038,94813175,69896,5007,Benton
0500000US05009,"37,373",,,,1527375338,31797989,69897,5009,Boone
0500000US05011,"10,545",,,,1681335016,9505606,63757,5011,Bradley
0500000US05013,"4,739",,,,1628067881,9885352,63758,5013,Calhoun
0500000US05015,"28,260",,,,1631531435,22705630,66975,5015,Carroll
0500000US05017,"10,208",,,,1649764677,140413175,69160,5017,Chicot
0500000US05019,"21,446",,,,2242855171,43965580,66845,5019,Clark
0500000US05021,"14,552",,,,1655581940,5497697,63759,5021,Clay
0500000US05023,"24,711",,,,1434747664,98885396,66983,5023,Cleburne
0500000US05025,"7,550",,,,1548589574,2561701,63760,5025,Cleveland
0500000US05027,"22,801",,,,1984098878,1985830,63761,5027,Columbia
0500000US05029,"20,715",,,,1429458475,37757545,66846,5029,Conway
0500000US05031,"111,231",,,,1831537035,14324622,66847,5031,Craighead
0500000US05033,"60,133",,,,1541738667,27519858,69161,5033,Crawford
0500000US05035,"48,163",,,,1587312625,81689126,69162,5035,Crittenden
0500000US05037,"16,833",,,,1596255187,15389371,66848,5037,Cross
0500000US05039,"6,482",,,,1728358299,1731378,66849,5039,Dallas
0500000US05041,"11,395",,,,1919735554,185180909,66850,5041,Desha
0500000US05043,"17,350",,,,2146225294,18789749,66851,5043,Drew
0500000US05045,"123,498",,,,1676360344,43618226,66852,5045,Faulkner
0500000US05047,"17,097",,,,1577206796,28920052,66853,5047,Franklin
0500000US05049,"12,075",,,,1600705524,6367763,66854,5049,Fulton
0500000US05051,"100,180",,,,1754999327,147452177,66855,5051,Garland
0500000US05053,"17,958",,,,1636573602,2896901,66856,5053,Grant
0500000US05055,"45,736",,,,1495304293,5273183,66857,5055,Greene
0500000US05057,"20,065",,,,1883438547,35737908,66858,5057,Hempstead
0500000US05059,"33,040",,,,1592697317,18725599,66859,5059,Hot Spring
0500000US05061,"12,785",,,,1521168581,21361761,66872,5061,Howard
0500000US05063,"37,938",,,,1978003740,20251226,69163,5063,Independence
0500000US05065,"13,577",,,,1502652313,9576574,66860,5065,Izard
0500000US05067,"16,755",,,,1641044497,20284490,66861,5067,Jackson
0500000US05069,"67,260",,,,2259419628,113071689,66862,5069,Jefferson
0500000US05071,"25,749",,,,1711970414,59529091,66863,5071,Johnson
0500000US05073,"6,308",,,,1371327392,43028603,66864,5073,Lafayette
0500000US05075,"16,216",,,,1521690357,12395693,66865,5075,Lawrence
0500000US05077,"8,600",,,,1553493435,57858191,66866,5077,Lee
0500000US05079,"12,941",,,,1448998822,26693160,66873,5079,Lincoln
0500000US05081,"12,026",,,,1375943077,83115227,66874,5081,Little River
0500000US05083,"21,131",,,,1836602034,53970569,82850,5083,Logan
0500000US05085,"74,015",,,,1998042333,82719024,69164,5085,Lonoke
0500000US05087,"16,521",,,,2160639839,7455609,69165,5087,Madison
0500000US05089,"16,826",,,,1545325346,112951240,69898,5089,Marion
0500000US05091,"42,600",,,,1616257229,36848741,69166,5091,Miller
0500000US05093,"40,685",,,,2336409933,72224609,69899,5093,Mississippi
0500000US05095,"6,799",,,,1573336901,35707672,69167,5095,Monroe
0500000US05097,"8,484",,,,2021363825,52979164,69168,5097,Montgomery
0500000US05099,"8,310",,,,1600067809,7489490,69169,5099,Nevada
0500000US05101,"7,225",,,,2126566287,5935948,69900,5101,Newton
0500000US05103,"22,650",,,,1897738454,18185713,69170,5103,Ouachita
0500000US05105,"10,019",,,,1428060523,24428402,69171,5105,Perry
0500000US05107,"16,568",,,,1788024160,95966884,69172,5107,Phillips
0500000US05109,"10,171",,,,1554861342,35284868,69173,5109,Pike
0500000US05111,"22,965",,,,1963975460,13892745,69174,5111,Poinsett
0500000US05113,"19,221",,,,2219200782,12520929,69175,5113,Polk
0500000US05115,"63,381",,,,2100810775,51385065,69901,5115,Pope
0500000US05117,"8,282",,,,1677069877,72638193,69176,5117,Prairie
0500000US05119,"399,125",,,,1964009183,126988884,69177,5119,Pulaski
0500000US05121,"18,571",,,,1688445989,10370823,69178,5121,Randolph
0500000US05123,"23,090",,,,1644082981,20017606,83331,5123,Saline
0500000US05125,"123,416",,,,1873940137,17955554,67102,5125,Scott
0500000US05127,"9,836",,,,2312470680,14373451,69179,5127,Searcy
0500000US05129,"7,828",,,,1724501452,6461828,69180,5129,Sebastian
0500000US05131,"127,799",,,,1375754630,33853972,69181,5131,Sevier
0500000US05133,"15,839",,,,1459650889,45919661,69182,5133,Sharp
0500000US05135,"17,271",,,,1565969853,5209695,69183,5135,St. Francis
0500000US05137,"12,359",,,,1570673294,8145444,69902,5137,Stone
0500000US05139,"39,054",,,,2691171273,42102269,69903,5139,Union
0500000US05141,"15,796",,,,1837758471,37208243,69904,5141,Van Buren
0500000US05143,"245,871",,,,2438398251,27945200,69905,5143,Washington
0500000US05145,"76,822",,,,2678251420,20554640,69906,5145,White
0500000US05147,"6,269",,,,1517642898,21058193,69907,5147,Woodruff
0500000US05149,"20,263",,,,2409234392,46381281,69908,5149,Yell
0500000US06001,"1,682,353",,,,1910017353,216902808,1675839,6001,Alameda
0500000US06003,"1,204",,,,1912292607,12557304,1675840,6003,Alpine
0500000US06005,"40,474",,,,1539965777,29438413,1675841,6005,Amador
0500000US06007,"211,632",,,,4238488701,105260548,1675842,6007,Butte
0500000US06009,"45,292",,,,2641837359,43789489,1675885,6009,Calaveras
0500000US06011,"21,839",,,,2980332727,14608884,1675902,6011,Colusa
0500000US06013,"1,165,927",,,,1856838508,225278783,1675903,6013,Contra Costa
0500000US06015,"27,743",,,,2606118035,578742633,1682074,6015,Del Norte
0500000US06017,"191,185",,,,4423312022,203340010,277273,6017,El Dorado
0500000US06019,"1,008,654",,,,15432139297,136609893,277274,6019,Fresno
0500000US06021,"28,917",,,,3403160301,33693344,277275,6021,Glenn
0500000US06023,"136,463",,,,9241565229,1253726036,1681908,6023,Humboldt
0500000US06025,"179,702",,,,10814595262,790216761,277277,6025,Imperial
0500000US06027,"19,016",,,,26410783053,77280938,1804637,6027,Inyo
0500000US06029,"909,235",,,,21068632654,78405068,2054176,6029,Kern
0500000US06031,"152,486",,,,3602601923,3164290,277280,6031,Kings
0500000US06033,"68,163",,,,3254452700,188748214,277281,6033,Lake
0500000US06035,"32,730",,,,11762091407,462950203,1693324,6035,Lassen
0500000US06037,"10,014,009",,,,10513508620,1787475204,277283,6037,Los Angeles
0500000US06039,"156,255",,,,5534591552,42271836,277284,6039,Madera
0500000US06041,"262,321",,,,1347889807,797077678,277285,6041,Marin
0500000US06043,"17,131",,,,3752476985,36220865,277286,6043,Mariposa
0500000US06045,"91,601",,,,9082632466,961740401,277287,6045,Mendocino
0500000US06047,"281,202",,,,5019407131,105277636,277288,6047,Merced
0500000US06049,"8,700",,,,10225877726,660503268,277289,6049,Modoc
0500000US06051,"13,195",,,,7896624729,214695677,277290,6051,Mono
0500000US06053,"439,035",,,,8499623032,1267793988,277291,6053,Monterey
0500000US06055,"138,019",,,,1938032964,104262608,277292,6055,Napa
0500000US06057,"102,241",,,,2480587301,41531993,1682927,6057,Nevada
0500000US06059,"3,186,989",,,,2053476505,406279630,277294,6059,Orange
0500000US06061,"404,739",,,,3644336875,246435971,277295,6061,Placer
0500000US06063,"19,790",,,,6612400772,156387638,277296,6063,Plumas
0500000US06065,"2,418,185",,,,18671924669,242973907,277297,6065,Riverside
0500000US06067,"1,585,055",,,,2500045887,75340560,277298,6067,Sacramento
0500000US06069,"64,209",,,,3596591085,4719300,277299,6069,San Benito
0500000US06071,"2,181,654",,,,51976125699,96413674,277300,6071,San Bernardino
0500000US06073,"3,298,634",,,,10904515125,817257158,277301,6073,San Diego
0500000US06075,"873,965",,,,121507089,479146790,277302,6075,San Francisco
0500000US06077,"779,233",,,,3606222503,89027654,277303,6077,San Joaquin
0500000US06079,"282,424",,,,8549176813,815614291,277304,6079,San Luis Obispo
0500000US06081,"764,442",,,,1161922042,757123906,277305,6081,San Mateo
0500000US06083,"448,229",,,,7080860229,2729213507,277306,6083,Santa Barbara
0500000US06085,"1,936,259",,,,3343892720,33595850,277307,6085,Santa Clara
0500000US06087,"270,861",,,,1152823584,419714230,277308,6087,Santa Cruz
0500000US06089,"182,155",,,,9778670503,186039037,1682610,6089,Shasta
0500000US06091,"3,236",,,,2468694582,23299110,277310,6091,Sierra
0500000US06093,"44,076",,,,16261933231,179149816,277311,6093,Siskiyou
0500000US06095,"453,491",,,,2128527683,218619356,277312,6095,Solano
0500000US06097,"488,863",,,,4080864785,498081645,1657246,6097,Sonoma
0500000US06099,"552,878",,,,3874667297,46351770,277314,6099,Stanislaus
0500000US06101,"99,633",,,,1560975503,14811541,277315,6101,Sutter
0500000US06103,"65,829",,,,7638229340,33767224,1692767,6103,Tehama
0500000US06105,"16,112",,,,8234265080,73407950,277317,6105,Trinity
0500000US06107,"473,117",,,,12493840854,37260863,277318,6107,Tulare
0500000US06109,"55,620",,,,5752133238,138668837,277319,6109,Tuolumne
0500000US06111,"843,843",,,,4767622161,947345735,277320,6111,Ventura
0500000US06113,"216,403",,,,2628145869,22877242,277321,6113,Yolo
0500000US06115,"81,575",,,,1636887865,31084093,277322,6115,Yuba
0500000US08001,"519,572",,,,3021840487,43702201,198116,8001,Adams
0500000US08003,"16,376",,,,1871643028,1670455,198117,8003,Alamosa
0500000US08005,"655,070",,,,2066438714,19801968,198118,8005,Arapahoe
0500000US08007,"13,359",,,,3496712164,13740247,198119,8007,Archuleta
0500000US08009,"3,506",,,,6617400567,6142192,198120,8009,Baca
0500000US08011,"5,650",,,,3918255148,73141518,198121,8011,Bent
0500000US08013,"330,758",,,,1881325109,36485630,198122,8013,Boulder
0500000US08014,"74,112",,,,85386685,1502572,1945881,8014,Broomfield
0500000US08015,"19,476",,,,2624715692,3999975,198123,8015,Chaffee
0500000US08017,"1,748",,,,4605713960,8166129,198124,8017,Cheyenne
0500000US08019,"9,397",,,,1023234052,3274910,198125,8019,Clear Creek
0500000US08021,"7,461",,,,3334423895,9235012,198126,8021,Conejos
0500000US08023,"3,499",,,,3179452300,8828906,198127,8023,Costilla
0500000US08025,"5,922",,,,2039427872,33422981,198128,8025,Crowley
0500000US08027,"4,704",,,,1913031975,3364150,198129,8027,Custer
0500000US08029,"31,196",,,,2958090989,16786781,198130,8029,Delta
0500000US08031,"715,522",,,,396461547,4275563,198131,8031,Denver
0500000US08033,"2,326",,,,2763958508,2716141,198132,8033,Dolores
0500000US08035,"357,978",,,,2176020279,6795841,198133,8035,Douglas
0500000US08037,"55,731",,,,4362754228,18970639,198134,8037,Eagle
0500000US08039,"26,062",,,,4793643992,442147,198136,8039,El Paso
0500000US08041,"730,395",,,,5507386924,7070359,198135,8041,Elbert
0500000US08043,"48,939",,,,3972613670,2235542,198137,8043,Fremont
0500000US08045,"61,685",,,,7633807267,21696625,198138,8045,Garfield
0500000US08047,"5,808",,,,388556746,942056,198139,8047,Gilpin
0500000US08049,"15,717",,,,4782276779,59886083,198140,8049,Grand
0500000US08051,"16,918",,,,8389334152,53070998,198141,8051,Gunnison
0500000US08053,788,,,,2893614472,15324685,198142,8053,Hinsdale
0500000US08055,"6,820",,,,4120756290,5792101,198143,8055,Huerfano
0500000US08057,"1,379",,,,4179530231,18750017,198144,8057,Jackson
0500000US08059,"582,910",,,,1979735379,25071495,198145,8059,Jefferson
0500000US08061,"1,446",,,,4578603586,47032918,198146,8061,Kiowa
0500000US08063,"7,087",,,,5596501951,2251929,198147,8063,Kit Carson
0500000US08065,"7,436",,,,976215864,18111565,198149,8065,La Plata
0500000US08067,"55,638",,,,4376255277,25642579,198148,8067,Lake
0500000US08069,"359,066",,,,6723017943,98980718,198150,8069,Larimer
0500000US08071,"14,555",,,,12361852647,6929970,198151,8071,Las Animas
0500000US08073,"5,675",,,,6676289547,22780358,198152,8073,Lincoln
0500000US08075,"21,528",,,,4761947975,16363553,198153,8075,Logan
0500000US08077,"155,703",,,,8621348071,31991710,198154,8077,Mesa
0500000US08079,865,,,,2268209076,5222161,198155,8079,Mineral
0500000US08081,"13,292",,,,12284943821,19803411,198156,8081,Moffat
0500000US08083,"25,849",,,,5255990018,27208195,198157,8083,Montezuma
0500000US08085,"42,679",,,,5804023555,4923260,198158,8085,Montrose
0500000US08087,"29,111",,,,3316441488,34663098,198159,8087,Morgan
0500000US08089,"18,690",,,,3268424301,20092555,198160,8089,Otero
0500000US08091,"4,874",,,,1400332623,3986292,198161,8091,Ouray
0500000US08093,"17,390",,,,5681165604,43519329,198162,8093,Park
0500000US08095,"4,530",,,,1781724976,301808,198163,8095,Phillips
0500000US08097,"17,358",,,,2514104904,6472577,198164,8097,Pitkin
0500000US08099,"11,999",,,,4243457240,15317423,198165,8099,Prowers
0500000US08101,"168,162",,,,6181242835,28941249,198166,8101,Pueblo
0500000US08103,"6,529",,,,8342275014,4868111,198167,8103,Rio Blanco
0500000US08105,"11,539",,,,2361956082,984295,198168,8105,Rio Grande
0500000US08107,"24,829",,,,6117602801,15831744,198169,8107,Routt
0500000US08109,"6,368",,,,8206547699,4454510,198170,8109,Saguache
0500000US08111,705,,,,1003660672,2035929,198171,8111,San Juan
0500000US08113,"8,072",,,,3332602595,5207582,198172,8113,San Miguel
0500000US08115,"2,404",,,,1419419015,3530746,198173,8115,Sedgwick
0500000US08117,"31,055",,,,1575563227,28310936,198174,8117,Summit
0500000US08119,"24,710",,,,1442988178,4960197,198175,8119,Teller
0500000US08121,"4,817",,,,6521806795,15207397,198176,8121,Washington
0500000US08123,"328,981",,,,10320973907,82348720,198177,8123,Weld
0500000US08125,"9,988",,,,6123764029,11134194,198178,8125,Yuma
0500000US09001,"957,419",,,,1618664029,549280913,212794,9001,Fairfield
0500000US09003,"899,498",,,,1903469905,40617843,212338,9003,Hartford
0500000US09005,"185,186",,,,2384123146,62350378,212796,9005,Litchfield
0500000US09007,"164,245",,,,956493753,180679141,212797,9007,Middlesex
0500000US09009,"864,835",,,,1565143224,667604268,212798,9009,New Haven
0500000US09011,"268,555",,,,1722511318,276863144,212799,9011,New London
0500000US09013,"149,788",,,,1062807467,17549693,212668,9013,Tolland
0500000US09015,"116,418",,,,1328477631,21478813,212801,9015,Windham
0500000US10001,"181,851",,,,1517891096,549776917,217271,10001,Kent
0500000US10003,"570,719",,,,1104206944,175316802,217270,10003,New Castle
0500000US10005,"237,378",,,,2424633519,674085951,217269,10005,Sussex
0500000US11001,"689,545",,,,158316124,18709762,1702382,11001,District of Columbia
0500000US12001,"278,468",,,,2267905452,241297386,308548,12001,Alachua
0500000US12003,"28,259",,,,1515738971,9686120,306920,12003,Baker
0500000US12005,"175,216",,,,1964874033,1833915193,295738,12005,Bay
0500000US12007,"28,303",,,,761368537,16898784,303634,12007,Bradford
0500000US12009,"606,612",,,,2628764720,1403938853,295749,12009,Brevard
0500000US12011,"1,944,375",,,,3115343227,273469971,295753,12011,Broward
0500000US12013,"13,648",,,,1469394597,18070425,306919,12013,Calhoun
0500000US12015,"186,847",,,,1764089884,689239393,295742,12015,Charlotte
0500000US12017,"153,843",,,,1507163436,981145546,295752,12017,Citrus
0500000US12019,"218,245",,,,1565900895,100869769,295726,12019,Clay
0500000US12021,"375,752",,,,5171818340,1575203628,295754,12021,Collier
0500000US12023,"69,698",,,,2065197126,10207158,306909,12023,Columbia
0500000US12027,"33,976",,,,1649031791,6243548,294452,12027,DeSoto
0500000US12029,"16,759",,,,1826029565,876347537,295725,12029,Dixie
0500000US12031,"995,567",,,,1975265289,403543924,293656,12031,Duval
0500000US12033,"321,905",,,,1701606697,1213969815,295737,12033,Escambia
0500000US12035,"115,378",,,,1259255270,219183435,308547,12035,Flagler
0500000US12037,"12,451",,,,1411498965,2270440522,306911,12037,Franklin
0500000US12039,"43,826",,,,1337405282,31475262,306918,12039,Gadsden
0500000US12041,"17,864",,,,905705571,14362143,303633,12041,Gilchrist
0500000US12043,"12,126",,,,2089659345,467293938,295743,12043,Glades
0500000US12045,"14,192",,,,1433448660,624425009,306917,12045,Gulf
0500000US12047,"14,004",,,,1332018549,12330813,295736,12047,Hamilton
0500000US12049,"25,327",,,,1651297014,1472455,295746,12049,Hardee
0500000US12051,"39,619",,,,2993896406,86578552,307626,12051,Hendry
0500000US12053,"194,515",,,,1224975804,627928028,295751,12053,Hernando
0500000US12055,"101,235",,,,2635726554,230667878,295756,12055,Highlands
0500000US12057,"1,459,762",,,,2647881643,791190693,295757,12057,Hillsborough
0500000US12059,"19,653",,,,1240232910,26393540,295735,12059,Holmes
0500000US12061,"159,788",,,,1302272811,295509933,307624,12061,Indian River
0500000US12063,"47,319",,,,2378091733,94217116,295734,12063,Jackson
0500000US12065,"14,510",,,,1549018611,193063921,295733,12065,Jefferson
0500000US12067,"8,226",,,,1407256302,11817999,295732,12067,Lafayette
0500000US12069,"383,956",,,,2464981507,531018779,308551,12069,Lake
0500000US12071,"760,822",,,,2022803065,1900583561,295758,12071,Lee
0500000US12073,"292,198",,,,1731225654,86408794,306916,12073,Leon
0500000US12075,"42,915",,,,2896188989,1224366488,295724,12075,Levy
0500000US12077,"7,974",,,,2164099094,19582444,308549,12077,Liberty
0500000US12079,"17,968",,,,1804001483,49634046,295731,12079,Madison
0500000US12081,"399,710",,,,1923744056,573084762,295744,12081,Manatee
0500000US12083,"375,908",,,,4113994502,192281277,306922,12083,Marion
0500000US12085,"158,431",,,,1408493392,542089457,308550,12085,Martin
0500000US12086,"2,701,767",,,,4920741927,1267570928,295755,12086,Miami-Dade
0500000US12087,"82,874",,,,2546067521,11153842007,295759,12087,Monroe
0500000US12089,"90,352",,,,1680075562,200050173,295730,12089,Nassau
0500000US12091,"211,668",,,,2408338835,820571046,306915,12091,Okaloosa
0500000US12093,"39,644",,,,1992126184,317924583,295760,12093,Okeechobee
0500000US12095,"1,429,908",,,,2338519047,260364621,295750,12095,Orange
0500000US12097,"388,656",,,,3438318817,462145217,295748,12097,Osceola
0500000US12099,"1,492,191",,,,5087510102,1084950939,295761,12099,Palm Beach
0500000US12101,"561,891",,,,1933701245,694046690,295739,12101,Pasco
0500000US12103,"959,107",,,,709086406,1535985822,295745,12103,Pinellas
0500000US12105,"725,046",,,,4656518803,550424838,295747,12105,Polk
0500000US12107,"73,321",,,,1886452945,255262400,306910,12107,Putnam
0500000US12109,"273,425",,,,1555651402,572113481,308371,12109,Santa Rosa
0500000US12111,"329,226",,,,1480593673,300906587,308372,12111,Sarasota
0500000US12113,"188,000",,,,2622106398,543294939,306914,12113,Seminole
0500000US12115,"434,006",,,,1440049632,1086617983,295741,12115,St. Johns
0500000US12117,"470,856",,,,801288992,93135088,303665,12117,St. Lucie
0500000US12119,"129,752",,,,1442978468,58762672,295740,12119,Sumter
0500000US12121,"43,474",,,,1783430092,9505389,295729,12121,Suwannee
0500000US12123,"21,796",,,,2702230209,1213570846,295728,12123,Taylor
0500000US12125,"16,147",,,,630804541,16049423,306913,12125,Union
0500000US12127,"553,543",,,,2852382099,857613983,306921,12127,Volusia
0500000US12129,"33,764",,,,1570615734,804111188,306912,12129,Wakulla
0500000US12131,"75,305",,,,2689161751,961293452,295727,12131,Walton
0500000US12133,"25,318",,,,1514305979,81008171,295762,12133,Washington
0500000US13001,"18,444",,,,1316372081,10379206,349113,13001,Appling
0500000US13003,"8,286",,,,887636774,4701677,345784,13003,Atkinson
0500000US13005,"11,140",,,,735770219,4506310,344784,13005,Bacon
0500000US13007,"2,876",,,,885665381,18598653,342832,13007,Baker
0500000US13009,"43,799",,,,670025212,24806035,345255,13009,Baldwin
0500000US13011,"18,035",,,,602473937,4635947,349230,13011,Banks
0500000US13013,"83,505",,,,417082921,4909580,356976,13013,Barrow
0500000US13015,"108,901",,,,1188568881,27370205,351604,13015,Bartow
0500000US13017,"17,194",,,,647802123,9814374,351606,13017,Ben Hill
0500000US13019,"18,160",,,,1174239566,11671125,326638,13019,Berrien
0500000US13021,"157,346",,,,645898113,14305197,1672039,13021,Bibb
0500000US13023,"12,583",,,,559122125,8425420,347451,13023,Bleckley
0500000US13025,"18,021",,,,1147972258,10291563,351605,13025,Brantley
0500000US13027,"16,301",,,,1277341275,11955761,345518,13027,Brooks
0500000US13029,"44,738",,,,1133284235,43751265,350496,13029,Bryan
0500000US13031,"81,099",,,,1750735217,32827779,350302,13031,Bulloch
0500000US13033,"24,596",,,,2142023426,20571289,347944,13033,Burke
0500000US13035,"25,434",,,,475754793,11269640,352295,13035,Butts
0500000US13037,"5,573",,,,726191502,8271470,344074,13037,Calhoun
0500000US13039,"54,768",,,,1632622505,392508756,1671316,13039,Camden
0500000US13043,"10,981",,,,629520841,15018189,342852,13043,Candler
0500000US13045,"119,148",,,,1292752874,12024409,326650,13045,Carroll
0500000US13047,"67,872",,,,419998923,771159,353230,13047,Catoosa
0500000US13049,"12,518",,,,2020415648,5963237,357747,13049,Charlton
0500000US13051,"295,291",,,,1121786258,509839331,1694477,13051,Chatham
0500000US13053,"9,565",,,,644225830,6277089,351012,13053,Chattahoochee
0500000US13055,"24,965",,,,811512398,570806,352213,13055,Chattooga
0500000US13057,"266,620",,,,1090597336,34427735,1685718,13057,Cherokee
0500000US13059,"128,671",,,,308784927,4688313,1672699,13059,Clarke
0500000US13061,"2,848",,,,506093894,56546964,344805,13061,Clay
0500000US13063,"297,595",,,,366879097,6962586,1672399,13063,Clayton
0500000US13065,"6,749",,,,2110829175,23303279,351285,13065,Clinch
0500000US13067,"766,149",,,,880018853,12407739,1686112,13067,Cobb
0500000US13069,"43,092",,,,1533994969,26861152,347456,13069,Coffee
0500000US13071,"45,898",,,,1416812867,24875649,343936,13071,Colquitt
0500000US13073,"156,010",,,,751598753,45345677,348865,13073,Columbia
